Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2013,"('-0.4', 'black')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.4', 'black')","('-0.3', 'black')","('-0.3', 'black')","('-0.2', 'black')","('-0.2', 'black')","('-0.3', 'black')"
2014,"('-0.4', 'black')","('-0.5', 'black')","('-0.3', 'black')","('0.0', 'black')","('0.2', 'black')","('0.2', 'black')","('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.5', 'red')","('0.6', 'red')","('0.7', 'red')"
2015,"('0.5', 'red')","('0.5', 'red')","('0.5', 'red')","('0.7', 'red')","('0.9', 'red')","('1.2', 'red')","('1.5', 'red')","('1.9', 'red')","('2.2', 'red')","('2.4', 'red')","('2.6', 'red')","('2.6', 'red')"
2016,"('2.5', 'red')","('2.1', 'red')","('1.6', 'red')","('0.9', 'red')","('0.4', 'black')","('-0.1', 'black')","('-0.4', 'black')","('-0.5', 'blue')","('-0.6', 'blue')","('-0.7', 'blue')","('-0.7', 'blue')","('-0.6', 'blue')"
2017,"('-0.3', 'black')","('-0.2', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.3', 'black')","('0.1', 'black')","('-0.1', 'black')","('-0.4', 'black')","('-0.7', 'blue')","('-0.8', 'blue')","('-1.0', 'blue')"
2018,"('-0.9', 'blue')","('-0.9', 'blue')","('-0.7', 'blue')","('-0.5', 'blue')","('-0.2', 'black')","('0.0', 'black')","('0.1', 'black')","('0.2', 'black')","('0.5', 'red')","('0.8', 'red')","('0.9', 'red')","('0.8', 'red')"
2019,"('0.7', 'red')","('0.7', 'red')","('0.7', 'red')","('0.7', 'red')","('0.5', 'red')","('0.5', 'red')","('0.3', 'black')","('0.1', 'black')","('0.2', 'black')","('0.3', 'black')","('0.5', 'black')","('0.5', 'black')"
Year,"('DJF', 'black')","('JFM', 'black')","('FMA', 'black')","('MAM', 'black')","('AMJ', 'black')","('MJJ', 'black')","('JJA', 'black')","('JAS', 'black')","('ASO', 'black')","('SON', 'black')","('OND', 'black')","('NDJ', 'black')"
2020,"('0.5', 'black')","('0.5', 'black')","('0.4', 'black')","('0.2', 'black')","('-0.1', 'black')","('-0.3', 'black')","('-0.4', 'black')","('-0.6', 'blue')","('-0.9', 'blue')","('-1.2', 'blue')","('-1.3', 'blue')","('-1.2', 'blue')"
2021,"('-1.0', 'blue')","('-0.9', 'blue')","('-0.8', 'blue')","('-0.7', 'blue')","('-0.5', 'blue')","('-0.4', 'black')","('-0.4', 'black')","('-0.5', 'blue')","('-0.7', 'blue')","('-0.8', 'blue')","('-1.0', 'blue')","('-1.0', 'blue')"
2022,"('-1.0', 'blue')","('-0.9', 'blue')","('-1.0', 'blue')","('-1.1', 'blue')","('-1.0', 'blue')","('-0.9', 'blue')","('-0.8', 'blue')","('-0.9', 'blue')","('-1.0', 'blue')","('-1.0', 'blue')","('-0.9', 'blue')","('-0.8', 'blue')"
2023,"('-0.7', 'blue')","('-0.4', 'black')","('-0.1', 'black')","('0.2', 'black')","('0.5', 'red')","('0.8', 'red')","('1.1', 'red')","('1.3', 'red')","('1.6', 'red')","('1.8', 'red')","('1.9', 'red')","('2.0', 'red')"
2024,"('1.8', 'red')","('1.5', 'red')","('1.1', 'red')","('0.7', 'red')","('0.4', 'black')","('0.2', 'black')",,,,,,
